,Month,Passengers In,Freight In,Passengers Out,Freight Out
104,2009-02-01,11072.0,177.409,9063.0,191.675
105,2009-02-01,2183.0,33.178,1181.0,49.724
106,2009-02-01,0.0,12.238,0.0,0.0
107,2009-02-01,79791.0,1959.916,83383.0,1304.029
108,2009-02-01,0.0,219.608,0.0,0.0
109,2009-02-01,6022.0,38.169,6102.0,236.836
110,2009-02-01,9627.0,207.948,8864.0,270.344
111,2009-02-01,618.0,11.043,659.0,30.646
112,2009-02-01,2696.0,8.952,2722.0,43.476
113,2009-02-01,17063.0,104.377,10837.0,0.0
114,2009-02-01,335.0,0.848,330.0,5.173
115,2009-02-01,7744.0,184.859,6736.0,70.145
116,2009-02-01,1921.0,102.688,2083.0,181.887
117,2009-02-01,3535.0,31.094,3514.0,35.077
118,2009-02-01,9093.0,311.516,6196.0,99.574
119,2009-02-01,0.0,95.452,0.0,0.0
120,2009-02-01,0.0,0.0,0.0,111.466
121,2009-02-01,0.0,41.326,0.0,0.0
122,2009-02-01,0.0,0.0,0.0,40.594
123,2009-02-01,64326.0,2387.559,45682.0,3716.174
124,2009-02-01,8062.0,66.912,6179.0,29.223
125,2009-02-01,10789.0,152.131,7195.0,107.411
126,2009-02-01,6751.0,147.55,4639.0,6.233
127,2009-02-01,1097.0,0.295,1066.0,1.962
128,2009-02-01,20913.0,1018.102,19364.0,704.347
129,2009-02-01,2447.0,89.636,2008.0,322.155
130,2009-02-01,1411.0,2.84,1777.0,0.402
131,2009-02-01,48776.0,1389.861,36122.0,2085.852
132,2009-02-01,918.0,44.008,424.0,58.444
133,2009-02-01,12513.0,295.127,8674.0,489.098
134,2009-02-01,2824.0,82.431,2445.0,32.486
135,2009-02-01,0.0,0.0,0.0,23.199
136,2009-02-01,0.0,0.0,0.0,38.231
137,2009-02-01,0.0,762.037,0.0,0.0
138,2009-02-01,11576.0,158.508,9435.0,76.486
139,2009-02-01,1519.0,4.055,1462.0,32.0
140,2009-02-01,17709.0,223.702,16211.0,177.339
141,2009-02-01,10943.0,120.32,10649.0,12.736
142,2009-02-01,19795.0,124.14,17893.0,97.079
143,2009-02-01,13851.0,36.078,15368.0,22.386
144,2009-02-01,11207.0,17.354,7802.0,3.792
145,2009-02-01,5833.0,119.069,4350.0,80.476
146,2009-02-01,2755.0,75.204,2405.0,55.829
147,2009-02-01,3073.0,0.914,1874.0,0.034
148,2009-02-01,16003.0,604.494,12227.0,405.949
149,2009-02-01,2590.0,130.647,2977.0,80.815
150,2009-02-01,1186.0,38.673,2623.0,38.108
151,2009-02-01,32092.0,2078.438,26188.0,1454.58
152,2009-02-01,204.0,0.452,226.0,10.897
153,2009-02-01,441.0,0.0,532.0,0.0
154,2009-02-01,185.0,0.0,260.0,0.0
155,2009-02-01,0.0,1.799,0.0,45.735
156,2009-02-01,6270.0,91.453,5088.0,92.143
157,2009-02-01,2875.0,13.632,3738.0,19.778
158,2009-02-01,8613.0,399.745,7071.0,191.82
159,2009-02-01,3782.0,170.694,3696.0,22.007
160,2009-02-01,27598.0,728.606,23416.0,1032.685
161,2009-02-01,2140.0,47.795,2005.0,23.792
162,2009-02-01,3921.0,44.587,2657.0,129.674
163,2009-02-01,10360.0,111.25,9175.0,100.945
164,2009-02-01,1650.0,0.712,2411.0,12.08
165,2009-02-01,46456.0,1387.838,49758.0,1252.094
166,2009-02-01,3221.0,17.977,3180.0,46.991
167,2009-02-01,39065.0,1131.04,30833.0,1785.134
168,2009-02-01,6442.0,99.834,5343.0,88.025
169,2009-02-01,4595.0,94.039,3425.0,121.513
170,2009-02-01,14998.0,349.012,13666.0,105.618
171,2009-02-01,41074.0,1348.589,33881.0,471.154
172,2009-02-01,6625.0,49.288,3822.0,105.85
173,2009-02-01,1290.0,77.128,1083.0,56.363
174,2009-02-01,0.0,100.508,0.0,257.141
175,2009-02-01,108146.0,3690.327,79581.0,4943.99
176,2009-02-01,89.0,0.0,73.0,0.0
177,2009-02-01,221.0,3.92,266.0,6.863
178,2009-02-01,5153.0,27.063,3524.0,121.398
179,2009-02-01,0.0,274.783,0.0,250.049
180,2009-02-01,41992.0,1351.996,29722.0,1885.554
181,2009-02-01,4486.0,0.0,3105.0,0.0
182,2009-02-01,16906.0,44.01,13420.0,501.812
183,2009-02-01,0.0,0.0,0.0,4.668
184,2009-02-01,0.0,0.0,0.0,93.164
185,2009-02-01,0.0,902.902,0.0,0.0
186,2009-02-01,90.0,21.281,137.0,13.58
187,2009-02-01,10179.0,137.497,5596.0,86.917
188,2009-02-01,4028.0,383.8,2942.0,139.826
189,2009-02-01,3852.0,33.272,3028.0,55.294
190,2009-02-01,6212.0,7.764,6798.0,29.932
191,2009-02-01,5967.0,0.0,6554.0,0.0
192,2009-02-01,30170.0,28.258,34989.0,37.335
193,2009-02-01,764.0,0.0,797.0,4.086
194,2009-02-01,505.0,0.0,601.0,2.448
195,2009-02-01,955.0,3.921,860.0,0.902
196,2009-02-01,1962.0,1.951,1859.0,5.769
197,2009-02-01,1488.0,0.702,1426.0,1.128
198,2009-03-01,2775.0,11.312,1781.0,9.778
199,2009-03-01,713.0,56.209,1009.0,81.472
200,2009-03-01,3390.0,4.624,3215.0,72.479
201,2009-03-01,4998.0,201.361,5515.0,145.033
202,2009-03-01,0.0,0.0,0.0,0.0
203,2009-03-01,9346.0,305.973,7004.0,128.477
204,2009-03-01,1494.0,32.49,1412.0,53.768
205,2009-03-01,0.0,11.257,0.0,0.0
206,2009-03-01,95820.0,1663.463,86923.0,1444.168
207,2009-03-01,0.0,164.111,0.0,0.0
208,2009-03-01,7099.0,58.292,7342.0,219.071
209,2009-03-01,10221.0,254.725,10976.0,236.299
210,2009-03-01,638.0,11.231,581.0,33.895
211,2009-03-01,3098.0,14.185,3165.0,50.292
212,2009-03-01,17976.0,126.511,17132.0,19.639
213,2009-03-01,383.0,1.372,411.0,4.964
214,2009-03-01,6790.0,210.449,6419.0,95.852
215,2009-03-01,2501.0,131.781,2477.0,302.214
216,2009-03-01,4065.0,48.549,3955.0,57.415
217,2009-03-01,8063.0,300.853,9490.0,135.262
218,2009-03-01,0.0,102.769,0.0,0.0
219,2009-03-01,0.0,0.0,0.0,117.015
220,2009-03-01,0.0,35.193,0.0,0.0
221,2009-03-01,0.0,0.0,0.0,65.589
222,2009-03-01,56203.0,3571.388,53132.0,3803.033
223,2009-03-01,7073.0,85.271,7303.0,40.245
224,2009-03-01,6434.0,143.948,4487.0,89.32
225,2009-03-01,6586.0,361.074,5970.0,7.795
226,2009-03-01,2066.0,0.045,1913.0,7.518
227,2009-03-01,24712.0,946.884,21259.0,832.905
228,2009-03-01,2322.0,68.515,2213.0,398.995
229,2009-03-01,2640.0,0.0,2187.0,0.053
230,2009-03-01,43264.0,1344.371,46582.0,2163.848
231,2009-03-01,732.0,55.926,781.0,78.944
232,2009-03-01,10121.0,461.904,13803.0,546.803
233,2009-03-01,2372.0,84.892,2199.0,30.718
234,2009-03-01,0.0,0.0,0.0,360.796
235,2009-03-01,0.0,748.2,0.0,0.0
236,2009-03-01,12780.0,192.575,12948.0,108.867
237,2009-03-01,1462.0,2.792,1516.0,33.15
238,2009-03-01,15006.0,216.676,16019.0,252.067
239,2009-03-01,13065.0,130.889,13631.0,15.624
240,2009-03-01,20476.0,143.027,20782.0,149.579
241,2009-03-01,16618.0,33.259,16013.0,27.381
242,2009-03-01,10701.0,24.614,9610.0,8.346
243,2009-03-01,5444.0,168.651,5065.0,91.351
244,2009-03-01,2879.0,53.062,3017.0,80.666
245,2009-03-01,2267.0,13.054,1727.0,0.284
246,2009-03-01,10009.0,848.339,11285.0,483.43
247,2009-03-01,2983.0,167.609,3155.0,85.081
248,2009-03-01,1933.0,34.33,2452.0,43.468
249,2009-03-01,0.0,0.0,0.0,0.0
250,2009-03-01,29568.0,2029.105,33098.0,1367.913
251,2009-03-01,275.0,0.238,285.0,10.827
252,2009-03-01,412.0,0.0,498.0,0.0
253,2009-03-01,565.0,0.0,581.0,0.0
254,2009-03-01,0.0,2.199,0.0,42.356
255,2009-03-01,5016.0,78.443,5319.0,46.92
256,2009-03-01,3104.0,20.684,3545.0,26.191
257,2009-03-01,7084.0,615.345,6712.0,176.517
258,2009-03-01,3563.0,115.206,4044.0,25.423
259,2009-03-01,23961.0,1258.853,23508.0,821.513
